utterance_id	speaker_id	target_id	reply_to_id	utterance
59	P00102	P00002		Sr. Deputado, a posição que há pouco exprimi não é a definitiva. Contudo, creio que a discussão que estamos a ter não deve ter lugar em sede de Regimento, porque se trata de uma matéria que creio que só por lei pode ser resolvida. E insisto um pouco nesse aspecto porque não creio que por mera resolução - como é o caso do Regimento, que apenas obriga internamente a Assembleia da República - possamos estar a ir mais além daquilo que consta da proposta da Comissão em matéria de votação. Aliás, o Sr. Deputado Luís Beiroco teve o cuidado de se restringir nessa matéria àquilo que o Regimento actualmente continha, apenas fazendo a mera adaptação das alterações decorrentes da revisão do Regimento em 1982. Ainda não tenho posição definitiva sobre a questão que o Sr. Deputado colocou, ou seja, a de saber se a Assembleia pode ou não introduzir alterações ao decreto do Presidente. Contudo, o que creio é que no Regimento não devemos estar já a introduzir alterações no sentido das que o PCP propôs. Seria, pois, muito mais prudente que nos limitássemos a manter a norma actual do Regimento que apenas refere que a votação incide sobre a concessão ou não da autorização. Aliás, isso é mais lógico, porque o Presidente da República não é um órgão com iniciativa legislativa. É um órgão inteiramente autónomo e independente da Assembleia da República e apenas está obrigado a pedir autorização. Ora, a Assembleia concede-lhe ou não essa autorização e, face a uma não concessão de autorização, cabe ao Presidente da República alterar o decreto tendo em conta o que a Assembleia referiu no debate e fazer um novo decreto em que se contemplem, por exemplo, as objecções que foram colocadas pela Assembleia. Portanto, tenho muitas dúvidas em que possamos dar o nosso acordo a uma proposta do tipo daquela que o PCP propõe.
60	P00107	P00001	54	Sr. Presidente, peço a palavra para formular pedidos de esclarecimento.
61	P00001	P00002		Faça favor, Sr. Deputado.
62	P00107	P00002		Sr.ª Deputada Margarida Salema, esta questão vai ser difícil de apurar no contexto de um debate em que uma das partes já dispõe de muito pouco tempo. A declaração de estado de sítio ou do estado de emergência é fundamentada e contém a especificação dos direitos, liberdades e garantias cujo exercício fica suspenso. Na hipótese que a Sr.ª Deputada coloca, o que a Assembleia poderia fazer era não conceder a autorização. Sendo assim, o Sr. Presidente da República alterava o decreto, mas, no entanto, a Assembleia continuava a entender que ainda não era essa a forma adequada e tornava a não conceder a autorização. Ora, parece-me que essa seria uma situação de impasse pior do que aquela que é materialmente realizável e que corresponde à competência da Assembleia, porque só esta é que pode autorizar a restrição de direitos. Creio, pois, que valerá a pena considerar a hipótese que colocamos numa filosofia global de declaração do estado de sítio.
63	P00001	P00002		Tem a palavra a Sr.ª Deputada Margarida Salema para responder, se assim o desejar.
64	P00102	P00002		Sr. Deputado João Amaral, desde que a proposta foi apresentada não tenho feito outra coisa senão considerar aquilo que é proposto. No entanto, tenho imensas dúvidas em relação a ela e não creio que em sede de Regimento possamos ir mais além do que o estabelecimento geral de que a votação incide sobre a concessão ou não da autorização. Contudo, gostaria de ouvir por parte das outras bancadas mais opiniões sobre esta matéria, na medida em que ela não é isenta de dúvidas, muito pelo contrário. Aliás, devo dizer que tenho a certeza que há propostas de lei sobre esta matéria, e talvez a ASDI possa dar-nos algum esclarecimento em torno desta questão.
65	P00001	P00002		Tem a palavra o Sr. Deputado Vilhena de Carvalho.
66	P00034	P00002		Sr. Presidente, Srs. Deputados: Tenho assistido com alguma satisfação ao debate sobre esta matéria e, uma vez instado para isso, também quero manifestar a minha posição. Embora não seja despiciendo estarmos a tratar desta questão, creio que não deveremos consignar no Regimento, por forma definitiva, a solução que acharmos melhor de um ponto de vista substantivo. Deveríamos deixar para a lei a elaboração sobre o estado de sítio e o estado de emergência - e estou convencido de que há-de ser a curto prazo que o problema virá a ser resolvido. Creio que no Regimento não se deveriam consignar soluções que amanhã pudessem vir a ser contrariadas pelo dispositivo da lei que viéssemos a promulgar. Daí que esteja muito de acordo com a Sr.ª Deputada Margarida Salema. Independentemente da posição de fundo quanto à questão de saber se a Assembleia da República poderá ou não modificar as condições e a fundamentação apresentada pelo Presidente da República, julgo que é em sede de lei que essa questão deve ser tratada. E isto porque ao aceitarmos a proposta de aditamento apresentada pelo PCP estamos já a tomar uma posição de fundo. Ora isto é adiantarmo-nos a uma solução com a preocupação de a regulamentar. Se apenas se tratasse de, por forma regimental, tratarmos de uma questão acerca da qual já tínhamos um dado adquirido e definitivo, aceitaria a proposta. No entanto, esta proposta pressupõe já uma tomada de posição que neste momento ainda não é inteiramente líquida.
67	P00107	P00001	65	Sr. Presidente, peço a palavra para formular pedidos de esclarecimento.
68	P00001	P00002		Faça Favor, Sr. Deputado.
69	P00107	P00002		Sr. Deputado, de alguma forma vamos tomar uma posição de fundo sem qualquer alternativa, porque consideramos ou não esta proposta e, ao considerá-la ou não, estamos a tomar uma posição. Assim, pergunto-lhe se o Sr. Deputado toma também uma posição de fundo quando vota o artigo tal como ele existe neste momento.
70	P00001	P00002		Sr. Deputado Vilhena de Carvalho, está ainda inscrito outro deputado para pedir esclarecimentos. V. Ex.ª pretende responder já ou no fim, conjuntamente?
71	P00034	P00002		Respondo no fim, Sr. Presidente.
72	P00001	P00002		Tem a palavra o Sr. Deputado José Manuel Mendes.
73	P00105	P00002		Sr. Deputado Vilhena de Carvalho, para além da questão que foi colocada pelo meu camarada João Amaral, gostaria de o confrontar com uma outra. Sabemos que não há nenhuma iniciativa legislativa que seja presente a esta Câmara que não fique sujeita a alterações introduzidas pelos senhores deputados. Ora, o projecto do Sr. Presidente da República não pode eximir-se a este princípio geral, porque se trata de um autêntico projecto articulado - tem que conter a hora a que começa o estado de sítio, quais as condições em que ele vai vigorar, quais são os direitos que vão ser suprimidos, em que partes do território nacional é que vai ter lugar, se é só na área metropolitana de Lisboa, se é em todo o País, etc. Portanto, se se está efectivamente perante um projecto articulado, impõe-se saber se sim ou não - e a nós parece-nos irretorquível que sim - os deputados podem proceder à não aprovação do diploma in totum. Se podem, é perfeitamente lógico que consagremos em sede de Regimento uma norma como esta.
74	P00001	P00002		Tem a palavra o Sr. Deputado Vilhena de Carvalho para responder, se o desejar.
75	P00034	P00002		Relativamente à questão que o Sr. Deputado João Amaral me pôs no sentido de saber se estamos ou não a tomar já uma posição ao aceitarmos o artigo 176.º tal como vem proposto na proposta do Sr. Deputado Luís Beiroco, penso que não tomamos uma posição de fundo, porque o que decidimos votando esta proposta é apenas a necessidade de haver uma votação. Mas uma coisa é o dizer-se que irá haver uma votação, outra coisa é caracterizarmos que tipo de votação é que se realizará. E o tipo de votação que se realizará está dependente de tal posição de fundo que eu concordo que...
76	P00107	P00002		Dá-me licença que o interrompa, Sr. Deputado?
77	P00034	P00002		Faça favor.
78	P00108	P00002		Sr. Deputado, penso que era bom esclarecer este ponto. Isso significa que, no seu pensamento, ao votarmos o artigo tal como ele vem proposto não fechamos nada, nomeadamente em sede regimental, para que o processo possa ser como nós propomos?
79	P00034	P00002		Exactamente. Penso que a formulação apresentada pelo Sr. Deputado Luís Beiroco é suficientemente aberta para poder contemplar aquilo que agora a proposta pretende apertis verbis e o que eu não queria era vincular-me em definitivo à proposta do PCP. Passando a responder ao Sr. Deputado José Manuel Mendes, direi que a resposta que tenho que lhe dar neste momento já foi dada pelo Sr. Deputado Jorge Lemos quando, numa intervenção relativa a este artigo, disse que o PCP pensa que existem no Regimento dispositivos de aplicação geral que poderiam ser aplicáveis à declaração do estado de sítio e do estado de emergência mas que, para particularizar melhor... Ora, esta é, justamente, a resposta à sua questão, pois o Sr. Deputado Jorge Lemos conveio em que o Regimento já contém genericamente soluções para o problema. Portanto, o que eu pretendo é uma fórmula que seja suficientemente aberta, que não feche a possibilidade.
80	P00008	P00002		Sr. Deputado, dá-me licença que o interrompa?
81	P00034	P00002		Faça favor, Sr. Deputado.
82	P00008	P00002		Sr. Deputado Vilhena de Carvalho, eu disse precisamente o contrário. Disse que o Regimento contém normas gerais em relação a todo o processo legislativo e que, sendo este um processo especial, do mesmo modo que estão previstos os restantes processos, deveríamos também prever este processo. Foi isto que eu disse, não remeti para as disposições gerais do Regimento.
83	P00034	P00002		Bom, de qualquer maneira, argumentarei da seguinte forma: desde que se considere que é omissa a regulamentação especial desta matéria, sempre teria aplicação a disposição genérica, e, portanto, suponho que continuo a alicerçar a minha argumentação dizendo que não ficávamos perante uma situação de lacuna. Haveria sempre uma norma geral que poderia ter aplicação consoante as soluções de fundo que na discussão da lei sobre o estado de sítio e o estado de emergência esta Assembleia venha a definir.
84	P00001	P00002		Tem a palavra a Sr.ª Deputada Margarida Salema para uma intervenção.
85	P00102	P00002		É apenas para sublinhar que, independentemente de uma tomada de posição sobre a matéria de fundo - a qual penso que não tem lugar aqui, volto a afirmar -, tenho a maior das dúvidas em que a figura constitucional da autorização, que existe a propósito de inúmeros institutos, possa ser, de per si, objecto de qualquer espécie de alteração. E isto porque a figura da autorização sempre foi concebida no sentido de permitir o exercício de um poder próprio de um orgão de soberania, quando a Constituição exige a autorização de outro órgão de soberania.
86	P00001	P00002		Tem a palavra o Sr. Deputado João Amaral, para pedir esclarecimentos.
87	P00107	P00002		Sr.ª Deputada, qual é, afinal, o entendimento que tem do processo? A mensagem que é enviada contém ou não a fundamentação e a especificação dos direitos que se pretende que sejam suspensos? É ou não um texto completo que pode corresponder ao conteúdo total da declaração do estado de sítio ou do estado de emergência? Nesses termos, pode ou não a Assembleia discordar de que um certo direito seja suspenso e, se o fizer, não tem outra solução senão dizer que não autorizou ou pode dizer «autorizo nestes termos», ou seja, com uma alteração? Finalmente, pergunto: Que é que a Assembleia faz quando autoriza? Publica o quê? Em que sítio? A Assembleia faz ou não uma lei para ser promulgada e publicada? No fundo, o processo é como é. O Presidente declara o estado de sítio quando promulga a lei da Assembleia?
88	P00001	P00002		Tem a palavra a Sr.ª Deputada Margarida Salema para responder, se o desejar.
