utterance_id	speaker_id	target_id	utterance_text
11	P00264	P00201	E está provado que esta atenção não tem levado a nada e que as manobras e as actividades dos grupos empresariais na Marinha Grande não têm tido da parte das instituições governamentais a adequada resposta. Em terceiro lugar, percebi, da sua intervenção, uma coisa que já se vai tornando moda no Partido Socialista, que V. Ex.ª defende a Câmara Municipal da Marinha Grande, mas já deixou de defender a posição do Governo. Portanto, quanto a isto, estamos entendidos. Quanto a desfilarmos na Marinha Grande e lutarmos pelos direitos dos trabalhadores, lá estaremos, com certeza! Sr. Deputado, não seja tão lesto a dizer que não há símbolos e que não há emblemas que se parecem muito com o fim do cavaquismo. Às vezes a música não é tocada pela mesma partitura, mas é a mesma música. Sr. Deputado Osvaldo Castro, lá chegaremos, e é isto que indicia a situação hoje na Marinha Grande.
12	P00520	P00264	Muito bem!
13	P00001	P00002	Srs. Deputados, antes de dar a palavra, para pedir esclarecimentos, ao Sr. Deputado Vicente Merendas, quero anunciar à Câmara que se encontram a assistir aos nossos trabalhos cinco colegas da Câmara de Deputados do Brasil, acompanhados de outros elementos. É uma honra muito grande tê-los connosco. Peço para todos eles uma saudação calorosa. Para formular o seu pedido de esclarecimento, tem a palavra o Sr. Deputado Vicente Merendas.
14	P00521	P00264	Sr. Presidente, Sr. Deputado Luís Fazenda, o que se está a passar no sector vidreiro da Marinha Grande é a demonstração de que este Governo só sabe governar ou em sucesso ou em crise, não há meio termo, não há aqui um funcionamento normal, como se devia verificar. Aquando da reestruturação do sector vidreiro, os Srs. Governantes começaram por falar em sucesso e o Sr. Deputado Osvaldo Castro, inclusivamente, falava no desenvolvimento da Marinha Grande e dizia: «Connosco acabaram as ‘bandeiras negras’».
15	P00201	P00521	É verdade!
16	P00521	P00002	Mas, agora, voltaram as «bandeiras negras»! Agora, chegou a crise! Agora, já afirmam que há crise. E chegou de facto. Voltaram os despedimentos e os salários em atraso; surgiram os problemas sociais a nível dos trabalhadores. Hoje, temos a Mandata, que tem um acordo parassocial mal gerido, com atraso nos investimentos, em que o Governo, através do IAPMEI, tem graves responsabilidades; temos despedimentos na Mortensen e na Atlantis. Ou seja, hoje, quase todas as empresas do sector vidreiro da Marinha Grande têm hoje problemas sociais graves e não se verifica uma única intervenção eficaz por parte da Inspecção-Geral do Trabalho; hoje, na Marinha Grande, o que se verifica é uma grande impunidade das entidades patronais, a exemplo daquilo que se passa no País. E poderíamos dar aqui outros exemplos. Srs. Deputados, estamos perante a total ausência de uma política económica e industrial no nosso país. O tecido industrial está a ser destruído, ou seja, estamos a perder aquilo que sabemos fazer, e esta política não pode continuar.
17	P00001	P00002	Para responder, tem a palavra o
18	P00264	P00521	Sr. Presidente, Sr. Deputado Vicente Merendas, antes de mais, quero agradecer-lhe esta intervenção, que vem coadjuvar tudo aquilo que eu já tinha dito, e aproveito para tecer mais alguns comentários. Um deles é que a apregoada consciência social do Governo é por aqui que se vai esvaindo, exactamente, como disse, pela impunidade daqueles que são mais poderosos e contra os quais o Governo nada faz. Depois, que mais podemos esperar de um Governo do Partido Socialista, em que o Sr. Primeiro Ministro diz: «Não me obriguem a aplicar medidas neoliberais!». O que é isto senão a rendição total ao neoliberalismo, em que as entidades, desde a Inspecção-Geral do Trabalho aos institutos de regulação económica, nada fazem?!
19	P00201	P00264	Não é verdade!
20	P00264	P00201	Como diz o Sr. Deputado Osvaldo Castro, estão atentos. Viva a atenção do Partido Socialista!
21	P00520	P00264	Muito bem!
22	P00001	P00002	Para uma declaração política, tem a palavra o Sr. Deputado Basílio Horta.
23	P00215	P00002	Sr. Presidente, Sr.as e Srs. Deputados: Uma das promessas, entre muitas, que a chamada Nova Maioria fez aos portugueses quando ganhou nas eleições foi a chamada regeneração da democracia. E por regeneração da democracia entendia a Nova Maioria — e bem! — o reforço do prestígio das instituições parlamentares, como pilar essencial da democracia constitucional que vigora em Portugal. E nesta intenção estava — e foi expressa uma e outra vez — a necessidade de rever o funcionamento das comissões de inquérito, por forma a que estas não exprimissem apenas a vontade das maiorias mas essencialmente a verdade efectiva. É que muitas vezes as comissões de inquérito paravam onde incomodavam a maioria e exprimiam a vontade aritmeticamente maioritária, mas que pouco ou nada tinha a ver com a verdade real apurada nesses trabalhos. Entendemos que, no momento que o nosso país atravessa — em todos os momentos, mas neste particularmente —, a dignificação das instituições e a respeitabilidade dos políticos é talvez o aspecto mais importante que se deve ter em conta. Quando a economia derrapa, as instituições financeiras hesitam e as questões sociais se colocam na primeira linha das nossas preocupações, a respeitabilidade das instituições é a garantia de que alguma coisa pode mudar com credibilidade. Se esta respeitabilidade não se verificar, verifica-se, então, sim, primeiro, o abandono do eleitorado e, depois, das pessoas mais aptas, que muitas vezes não se sentem com disponibilidade para participar naquilo que entendem ser uma perda de tempo, para não dizer uma fraude política. Vem isto a propósito da diferença abissal que há entre as palavras e os actos, entre as intenções e a verdade. E é por isso que nós, hoje, não podemos calar a nossa sinceríssima indignação e dizer aqui, no Plenário, que não podemos admitir o que se está a passar na Comissão Parlamentar de Inquérito sobre as Causas, Consequências e Responsabilidades do Acidente Resultante do Desabamento da Ponte sobre o Rio Douro, em Entre-os-Rios. Foi uma tragédia que abalou a consciência nacional. Vimos, através da comunicação social, uma e outra vez, talvez até algumas vezes em excesso, o que foi o sentir doloroso de um povo perante uma tragédia que se abateu sobre as suas famílias. O Partido Socialista, nessa altura, veio propor a constituição de uma comissão de inquérito e, ao mesmo tempo, o Sr. Ministro Jorge Coelho veio dizer que assumia todas as responsabilidades, e, por isso, pedia a sua demissão. Estas atitudes vêm-se a revelar hoje puramente formais, atitudes que são apenas uma cortina de fumo,…
24	P00230	P00215	Muito bem!
25	P00215	P00002	… não para apurar responsabilidades mas, mais uma vez — e isto é que é grave —, para desprestigiar as instituições e este Parlamento. E isto nós não podemos admitir.
26	P00230	P00215	Muito bem!
27	P00215	P00002	O que acontece nesta Comissão Parlamentar de Inquérito é que, enquanto foi para ouvir os técnicos, todos estiveram de acordo, mas na altura em que é necessário ouvir os políticos que tinham responsabilidades sobre esses técnicos, como o Sr. Ministro do Ambiente, o ex-Ministro do Equipamento, do Planeamento e da Administração do Território, Engenheiro João Cravinho, o Governador Civil de Aveiro e a Ministra do Planeamento, Professora Elisa Ferreira, a força da maioria diz: «Não! Estamos esclarecidos! Vamos fazer o relatório imediatamente e, depois do relatório estar iniciado, se houver necessidade de ouvir alguém, então ouve-se». Quer dizer: primeiro, faz-se o relatório e, depois, ouvem-se os políticos!
28	P00522	P00215	Muito bem!
29	P00215	P00002	É uma vergonha! Em 25 anos de vida parlamentar, nunca assisti a um caso destes! O que se está a passar neste caso é uma vergonha não só para as instituições parlamentares mas também — e não digam que estamos a aproveitar-nos da tragédia, porque não admitimos isso — para as famílias das pessoas que morreram!
30	P00230	P00215	Muito bem!
31	P00215	P00002	É uma vergonha para quem prometeu o esclarecimento dos factos e faltou a tudo aquilo que prometeu! Não se entende o que o Partido Socialista quer esconder! Por que é que o Partido Socialista não deixa ouvir os ministros que têm tutela sobre os técnicos?
32	P00154	P00215	Têm medo!
33	P00215	P00002	Querem ouvir outros ministros de outros
34	P00216	P00215	Muito bem!
35	P00215	P00002	Têm medo de que só sejam ouvidos ministros do Partido Socialista? Proponham a audição de outros! Agora, que se apure a verdade!
36	P00230	P00215	Muito bem!
37	P00215	P00002	Que se apure a verdade, sem fins persecutórios, porque não queremos perseguir ninguém. Não é isto que está em causa. Agora, que se apure a verdade para bem da dignidade das instituições! Que se diga ao País: «A Comissão de Inquérito apurou estes factos, e apurou-os com consciência, com profundidade, sem sentido de ocultar seja o que for». Querem fazer o relatório à pressa. Prolongam o funcionamento da Comissão de Inquérito por 90 dias, mas ela funciona 16 dias, e já é muito. Querem acabá-la rapidamente, de qualquer jeito, de qualquer forma. Sr. Presidente, Srs. Deputados, Srs. Deputados do Partido Socialista: Não hesito em pensar — e digo isto com sinceridade — que, na vossa bancada, há democratas de sempre, e não apenas do pós 25 de Abril, pessoas que escreveram e que se dedicaram à liberdade e à democracia. É a esse espírito que hoje apelo, não apenas no aspecto egoístico da minha bancada, nem dos interesses do eleitorado do CDS-PP. A bem da dignidade das instituições, se queremos preservá-las minimamente daquilo que é o respeito dos cidadãos; a bem da dignidade deste Parlamento; a bem da dignidade da nossa Constituição, que manda que o Governo seja fiscalizado pelo Parlamento e não ao contrário, ou seja, que o Parlamento e a maioria sejam fiscalizadas pelo Governo;…
38	P00509	P00215	Muito bem!
39	P00215	P00002	… a bem da dignidade da nossa própria palavra de homens e de Deputados, não se entende que o mais importante desta Comissão de Inquérito, um tema que enlutou toda a Nação, fique por um relatório «acolchoado», feito a correr, à medida dos vossos interesses e necessidades. Se nada têm a esconder, arrepiem caminho, vão à Comissão e deixem ouvir as pessoas, deixem ouvir quem for necessário para esclarecer a verdade, pois esta é a única forma de dignificarem o Parlamento. Se o não fizerem — e aqui o digo com clareza —, para nós o relatório será uma fraude, não participaremos na sua votação e denunciaremos por todos os meios a vossa acção deletéria, já não na economia, já não na sociedade, já não nas finanças, mas da dignidade da própria democracia.
40	P00523	P00215	Muito bem!
41	P00215	P00002	Não contem connosco para isso! Terão a nossa total, frontal e completa oposição!
42	P00001	P00002	Inscreveram-se, para pedir esclarecimentos, os Srs. Deputados Honório Novo, Miguel Coelho, Isabel Castro, António Nazaré Pereira e Luís Fazenda. Para o efeito, tem a palavra o Sr. Deputado Honório Novo.
43	P00240	P00215	Sr. Presidente, Sr. Deputado Basílio Horta, de facto, no que se refere à Comissão de Inquérito sobre as causas, consequências e responsabilidades do acidente em Entre-os-Rios, o PS parece não estar interessado em levar até ao fim, até às últimas consequências, o trabalho desta Comissão. Creio que o Sr. Deputado Basílio Horta estará de acordo comigo se eu disser que a memória das vítimas e a dívida que temos para com os seus familiares merecia da parte do Partido Socialista mais, merecia muito mais do que o espectáculo inqualificável de obstrução que o Partido Socialista está a tentar ensaiar de há umas semanas a esta parte. O PCP considera que o inquérito deveria apurar todas as responsabilidades políticas ao longo de todos os tempos, as mais antigas e as mais recentes. Como é que um inquérito pode ser minimamente credível se o PS não aceita ouvir um governador civil que acaba de dizer que, um dia destes, abre o «livro» todo sobre o acidente?! O PS não quer que esse «livro» seja aberto?!
44	P00352	P00240	Não! Não quer!
45	P00240	P00215	Não quer que o ex-Ministro João Cravinho explique por que é que, durante três anos, manteve um relatório no seu gabinete sem dar seguimento às suas conclusões? Não quer ouvir o Ministro José Sócrates, a quem, directa ou indirectamente, a comissão de inquérito governamental atribui responsabilidades, já que fala das causas imputáveis à extracção de areias?
46	P00212	P00240	Quer pôr uma pedra sobre o assunto!
47	P00240	P00215	O PS, pelos vistos, não quer fazer um inquérito minimamente credível. O PCP nesta matéria não teve, não tem, nem terá qualquer hesitação. Apesar das tentativas de obstrução e de boicote do PS, o PCP vai continuar a tentar apurar todas — insisto e sublinho, todas — as responsabilidades.
48	P00215	P00240	Muito bem!
49	P00240	P00215	Não vamos pactuar com o jogo de sombras em que o PS quer transformar os trabalhos desta Comissão, impedindo a audição de governadores civis, de ministros, de ex-ministros, cujos depoimentos são, unânime e consensualmente, considerados fundamentais para o apuramento da verdade. O PS prepara conclusões para que a culpa continue solteira, prepara conclusões que não ponham mais em causa os seus amigos e a sua família partidária. O PS prepara-se para reeditar na prática os inquéritos de má memória que
50	P00001	P00240	Sr. Deputado, terminou o tempo de que dispunha. Agradeço que termine.
51	P00240	P00215	Termino já, Sr. Presidente. Volto a perguntar ao Sr. Deputado Basílio Horta se não acha que vão ser lamentáveis as conclusões que o PS quer tirar, se elas não vão ser incompletas, se não vão ser profundamente parciais.
52	P00001	P00002	Sr. Deputado Basílio Horta, tem a palavra para responder.
53	P00215	P00240	Sr. Presidente, Sr. Deputado Honório Novo, a minha resposta é «sim». Se esse relatório for feito no estado em que os trabalhos se encontram, não será, para nós, um verdadeiro relatório. Terá a forma de um relatório mas não terá a substância nem o efeito que um relatório de uma comissão de inquérito deve ter. Por isso, nós também faremos tudo para apurar a verdade dos factos, mas a verdade é que, como tem tido ocasião de ver, a maioria exerce de uma forma aritmética a sua intervenção e a oposição fica extremamente coarctada. Já agora, um outro apontamento, de que há pouco não falei e que convinha referir. Chega-se ao ponto – isto é espantoso! – de o CDS ter hoje proposto a audição do engenheiro que fez a última fiscalização à ponte, dois meses antes de a ponte ruir (repito, dois meses antes de a ponte ruir!) — e o CDS pediu essa audição porque há elementos contraditórios em que, por um lado, o engenheiro diz que não fez qualquer relatório e, por outro, é dito que houve um relatório e porque não está apurado quem é que mandou esse engenheiro fazer essa fiscalização — e de nem sequer essa audição ter sido consentida pelo Partido Socialista! Nem sequer essa audição foi consentida pelo Partido Socialista! É este o caminho que as coisas estão a levar, numa matéria sensível para os portugueses. Eu já nem falo, Srs. Deputados, fundamentalmente do Partido Socialista, da desilusão que foi quando propusemos aqui uma comissão de inquérito à Partest/Parpública, com milhões e milhões de contos públicos que nunca soubemos para onde foram, nunca se soube, em que toda a oposição votou a favor e, depois de várias tergiversações, VV. Ex.as impediram que essa comissão se realizasse. Já não falo dessa força para obstar ao conhecimento da verdade. Mas este caso é de tal maneira grave que eu tenho de dizer que, se as outras comissões fossem constituídas para ser igual a esta, então, fizeram bem em votar contra! Se VV. Ex.as querem comissões de inquérito para funcionar como esta está a funcionar, votem contra todas! É mais sério, é, seguramente, mais transparente da vossa atitude. Ao Sr. Deputado Honório Novo, mais uma vez, digo que, para nós, esse relatório não terá qualquer efeito, não terá qualquer valor e será, a ir até ao fim… Sinceramente, ainda duvido – e sinceramente o digo – que o Partido Socialista mantenha esta posição de fazer o relatório sem ouvir previamente os responsáveis políticos, mas, se o fizer, obviamente que não será um relatório. Será uma prova insofismável do ponto a que o Partido Socialista chegou! E é pena que tenha chegado a este ponto.
54	P00509	P00215	Muito bem!
55	P00001	P00002	Para pedir esclarecimentos, tem a palavra o Sr. Deputado Miguel Coelho.
56	P00524	P00215	Sr. Presidente, Sr. Deputado Basílio Horta, V. Ex.ª fez hoje aqui uma hábil manifestação de oportunismo político.
57	P00121	P00524	Essa é boa!
58	P00524	P00215	Gostava de dizer a V. Ex.ª que não estava à espera que fosse o Sr. Deputado a fazê-la, porque, como sabe, V. Ex.ª não tem participado nos trabalhos da nossa Comissão.
59	P00215	P00524	Isso não é verdade!
