utterance_id	speaker_id	target_id	reply_to_id	utterance
40	P00262	P00264	38	Sr.ª Presidente, Sr. Deputado Luís Fazenda, na sua declaração política tocou em dois pontos que são, a nosso ver, a principal fratura social de Portugal e, por isso, devem constituir as principais prioridades deste ou de qualquer governo: a questão da pobreza e a questão do desemprego. Dito isto de uma forma clara, também lhe queria dizer que, por isso mesmo, devemos resistir à tentação de aproveitamentos políticos e ter uma perspetiva séria do ponto de vista político em relação a estas matérias. Evidentemente que, quando a taxa de desemprego sobe, preocupa todos, mas, quando desce, deve satisfazer todos. Sr. Deputado Luís Fazenda, é evidente que os números da pobreza nos preocupam. Preocupam o Bloco de Esquerda, como preocupam o CDS e os restantes grupos parlamentares. Não tenho a menor dúvida. O Sr. Deputado, na sua declaração política, e tendo em conta que o relatório que referiu é atual, falou de números que não são atuais, são números relativos a 2013.
41	P00334	P00262	40	Muito bem!
42	P00262	P00264	38	Mais do que isso: o Sr. Deputado disse que tudo indica que será pior. Tudo o quê, Sr. Deputado? É que, em 2014, vimos que houve crescimento económico e vimos a taxa de desemprego a diminuir. A taxa de desemprego a diminuir, Sr. Deputado! Lamento informar o Bloco de Esquerda, mas a taxa de desemprego diminuiu.
43	P00334	P00262	42	Em Portugal!
44	P00262	P00264	38	Nos últimos 12 meses, Portugal foi o país da Europa que registou uma maior descida da taxa de desemprego — 2,4 pontos percentuais.
45	P00334	P00262	44	Bem lembrado!
46	P00267	P00262	44	Mentira!
47	P00262	P00264	38	A taxa de desemprego na Irlanda, que é tantas vezes apontada como exemplo, apenas desceu 1,7. O Sr. Deputado fica satisfeito com isso? É que eu chego a duvidar que fica! O Sr. Deputado está maçado pelo facto de Portugal, por força, infelizmente, do programa dificílimo que tivemos, já ter estado nos 17,7% e hoje estar nos 13,5%. É alto? É, com certeza. Temos de trabalhar para baixar? Com certeza. Vale ou não vale a pena salientar isto? O Sr. Deputado falou da TAP dizendo que a ajuda europeia é uma solução miraculosa. Mais uma vez, o Sr. Deputado, por uma questão de honestidade intelectual e política, que sei que a tem, devia contar como é que
48	P00001	P00262	47	Queira concluir, Sr. Deputado.
49	P00262	P00264	38	Sr.ª Presidente, queria só fazer uma pergunta muito clara. O Sr. Deputado Luís Fazenda falou da Grécia, dos gregos, do que veio mudar e as eleições gregas são isso mesmo, ou seja, são eleições que se realizaram na Grécia. Bom, para já, tenho a dizer-lhe que tem mudado mais o Syriza do que a Grécia, mas, em todo o caso, ficaremos a aguardar.
50	P00334	P00262	49	É verdade!
51	P00262	P00264	38	Sr. Deputado, queria perguntar-lhe o seguinte: o que é que o senhor, em nome do interesse nacional, tem a dizer em relação às declarações do Ministro das Finanças grego, quando este referiu que as taxas de juro e os custos da dívida pública de Portugal deviam aumentar?
52	P00334	P00262	51	Exatamente!
53	P00262	P00264	38	Isto significaria mais austeridade e mais sacrifícios para os portugueses. De que lado está o Bloco? Está do lado do interesse nacional da Grécia ou do interesse nacional de Portugal? Nós, em relação a isso, não temos dúvidas, Srs. Deputados!
54	P00001	P00264	38	Para responder, tem a palavra o Sr. Deputado Luís Fazenda.
55	P00264	P00262	53	Sr.ª Presidente, Sr. Deputado Nuno Magalhães, gostaria de fazer alguns comentários.»
56	P00334	P00264	55	Devia era responder!
57	P00264	P00262	53	» á sua intervenção, não sem antes responder á sua pergunta, atç porque, se me permite, ela é corriqueira. O atual Ministro das Finanças grego era, há muitos anos, um blogger, um intelectual e escreve muitas coisas que, com certeza, são vistas com muita atenção. Em todo o caso, como académico, tinha uma personalidade diferente da que tem neste momento como Ministro das Finanças. Srs. Deputados, isso é, aliás, uma coisa corriqueira, não é?! O Carlos Moedas é um exemplo acabadíssimo disso e, no entanto, foi promovido pela atual maioria política. Foi promovido! Defendia a reestruturação da dívida, mas, entretanto, «mudou de agulha». Seja como for, o que foi dito pelo atual Ministro das Finanças da Grécia, à época, foi que, se — condicional! — existisse uma situação de cerco à Grécia, a circunstância de poder impedir a liquidez da Grécia nos circuitos financeiros europeus e se isso aumentasse as taxas de juro de um conjunto de Estados-membros, incluindo Portugal, aumentaria o capital de conflito e, portanto, poderia provocar uma alteração na política europeia. Enfim, esse cenário ainda não está fora de contexto. Desafio o Sr. Deputado a pensar não no que perde imediatamente, mas no que Portugal pode ganhar a prazo. Sobre isso, os senhores não falam! É que a dívida portuguesa é tão impagável como a grega, é uma questão de escala. Quanto a essa matéria, o eleitorado será juiz em primeira e em última instâncias.
58	P00579	P00264	57	Está a dar uma resposta mal-amanhada!
59	P00264	P00262	53	Sr. Deputado Nuno Magalhães, também gostaria de lhe dizer que, em relação à taxa de desemprego, o que temos é uma diferença de 1,8 favorável à taxa de emprego em relação a período homólogo do ano passado. Mas uma baixa! Isso significa que a economia, desse ponto de vista, está estagnada e que, se somar o efeito conjugado da emigração, não tem criação líquida de emprego ou ela é marginal. Não há criação de emprego e esse é o castigo mais severo que pode ter esta maioria política do CDS e do PSD. Quanto aos números da pobreza, não sei. Conhece um tal de Pedro Mota Soares, Ministro da Segurança Social?
60	P00262	P00264	59	Conheço muito bem!
61	P00001	P00264	59	Queira concluir, Sr. Deputado.
62	P00264	P00262	60	É ele que tem andado a cortar as prestações sociais — aliás, até arranjou mais um teto. Do que é que se admira? Vão aumentar os indicadores de pobreza! São factos, não são?
63	P00262	P00264	62	Não!
64	P00264	P00262	63	São é difíceis de contestar!
65	P00001	P00002		Antes de dar a palavra ao Sr. Deputado Jorge Machado, o Grupo Parlamentar do PS informou a Mesa que terá havido um lapso na direção da bancada e, como tal, não foi inscrito, para fazer uma pergunta, o Sr. Deputado Vitalino Canas. Não havendo objeções, inscrevo o Sr. Deputado Vitalino Canas para esse efeito. Tem a palavra, Sr. Deputado Jorge Machado.
66	P00267	P00264	64	Sr.ª Presidente, Sr. Deputado Luís Fazenda, queremos começar por saudá-lo pela declaração política que fez em nome do BE e dizer que o PCP considera que o Governo montou uma autêntica linha de propaganda. Considera o Governo que há sucesso atrás de sucesso: sucesso na saúde — quando o que há é caos nas urgências! — , bons resultados no emprego, bons resultados na economia» Esta ç uma propaganda feita como um castelo de cartas, ou seja, sem qualquer tipo de sustentação, e a realidade destrói facilmente esta linha de propaganda que está montada. Queremos destacar dois casos concretos que são paradigmáticos de como as opções políticas do Governo estão a afundar o nosso País e não estão a resolver nenhum dos problemas estruturais. O primeiro caso tem a ver com os dados do desemprego. Bem podem montar o esquema que quiserem, mas a verdade é que os dados do INE comprovam claramente que, ao contrário do que o Governo anda a dizer e a maioria tenta repetir até à exaustão, o desemprego no nosso País não está a diminuir.
67	P00580	P00267	66	Exatamente!
68	P00267	P00264	64	Basta termos em conta que o Governo atirou para estágios e para formação profissional 166 000 trabalhadores que não contam para as estatísticas e, se somarmos os inativos e desmotivados, que são 257 000, percebemos que, hoje, o desemprego atinge 1,2 milhões de portugueses. Temos, hoje, substancialmente mais trabalhadores desempregados do que tínhamos em 2011. Portanto, a situação, hoje, é pior, não é melhor, como tentam pintar. O segundo caso tem a ver com os dados do INE sobre a pobreza. Há 2,7 milhões de pobres no nosso País, 25,9% de pobreza. É o pior agravamento da taxa de pobreza desde o 25 de Abril. A maioria reage
69	P00001	P00264	64	Para responder, tem a palavra o Sr. Deputado Luís Fazenda.
70	P00264	P00267	68	Sr.ª Presidente, Sr. Deputado Jorge Machado, só posso concordar com a sua análise acerca da pobreza e do desemprego. Acerca do desemprego cingi-me àquilo que são os dados do INE, não fui mais longe do que isso. O Sr. Primeiro-Ministro e a maioria são muito ciosos dos dados do INE. Ora, os dados do INE provam que a criação líquida de emprego ou não existe ou é marginal e tiraremos alguma conclusão acerca disso. Do ponto de vista real, há um aumento do desemprego, e isso é conhecido e sabido. Aliás, ainda no último debate quinzenal se observou que o Sr. Primeiro-Ministro esteve imenso tempo a tentar descodificar um engano metodológico que tinha existido nas séries do INE e que, afinal, aquilo que era uma baixa não era; era, aliás, um aumento do emprego. Enfim, esteve aqui a cobrir-se com as vestes do Instituto Nacional de Estatística. Aparentemente, aí estão novamente os dados do Instituto Nacional de Estatística deixando claro que há um aumento do desemprego no último trimestre do ano transato, 2014. Infelizmente, essa série parece vir a ter uma tendência de continuidade. Veremos a seu tempo! Seja como for, o desemprego é enorme e é a marca de uma política falhada, de uma governação falhada. Quem é que dizia isto? Creio que era o PSD que tinha esta asserção, sobre a qual deveremos chamar sempre a atenção. É um descalabro aquilo que se passa do ponto de vista da política de emprego, hoje correlacionada com a política de emigração, porque não há outra forma de atentar a estes dados. E a pobreza vai por si, porque, diminuindo as condições do emprego, desvalorizando-se o salário, baixando a mediana do rendimento médio em Portugal, o aumento da pobreza é inevitável, mais a mais no Orçamento em que o Ministro da Segurança Social e o Primeiro-Ministro vieram garantir que havia um abaixamento das prestações em cerca de 100 milhões de euros. Portanto, não é inescapável essa realidade e, portanto, necessariamente, teremos um agravamento da pobreza nas próximas circunstâncias. Sr. Deputado, não posso concordar mais consigo acerca de uma conferência internacional sobre a reestruturação da dívida intergovernamental. Aliás, devo recordar que, no último debate quinzenal, a minha camarada Catarina Martins perguntou ao Sr. Primeiro-Ministro acerca dessa conferência, que é uma proposta do Governo grego, que acompanhamos, e que o Sr. Primeiro-Ministro disse, preto no branco, que não atenderia, que estaria absolutamente contra uma proposta desse género. Pois essa é a proposta dos povos, é a proposta que faz caminho, é a proposta de quem tem esperança de ter alguma transformação na Europa e em cada Estado.
71	P00001	P00264	70	Queira concluir, Sr. Deputado.
72	P00264	P00267	68	Essa será também uma das nossas bandeiras que devemos compartilhar neste caminho afora. Era necessário que muitos outros compartilhassem e, como eu disse na intervenção, que Portugal não seja o escudo humano da Sr.ª Merkel.
73	P00001	P00002		A próxima pergunta é do PS. Tem a palavra o Sr. Deputado Vitalino Canas.
74	P00263	P00264	72	Sr.ª Presidente, Sr. Deputado Luís Fazenda, na sua intervenção colocou alguns temas de relevantíssima importância, começando, desde logo, pelo tema do acréscimo do risco de pobreza, talvez o mais importante, porque é aquele que nos convoca com maior insistência à nossa responsabilidade. Esse tema será, aliás, aqui tratado mais tarde pelo Partido Socialista. Colocou também questões relacionadas com o Serviço Nacional de Saúde. Existe um padrão de comportamento deste Governo desde há muito tempo que não começou pelo CITIUS, que não começou com a colocação dos professores — que já tinha começado antes — , mas que se mantém, que é o padrão de comportamento da negligência dos cortes cegos que depois têm estas consequências. Portanto, Sr. Deputado, fez bem em referir também esses temas. Quanto à questão da política europeia e das evoluções que estão a ocorrer ao nível da Europa, o Sr. Deputado referiu as iniciativas do Governo grego. Devo dizer, Sr. Deputado, que estamos a ficar na altura em que, sem as euforias da semana passada, podemos debater com alguma seriedade e alguma contenção estas questões. Porém, fiquei surpreendido pelo facto de não ter comentado alguma evolução que o Governo grego tem vindo a fazer no que diz respeito à reestruturação da dívida, que nos parece uma evolução sensata, designadamente respeitante às questões relacionadas com a desnecessidade de impor um haircut ou com o compromisso, mais uma vez, assumido pelo Primeiro-Ministro grego de que iriam pagar a integralidade da dívida. Parece-me importante notar esta evolução. Importante, sobretudo, não para salientar qualquer tipo de recuo ou qualquer tipo de evolução, mas para registar que o Governo grego está a ter um contributo que me parece útil ao nível da discussão destes temas da Europa. Devemos registar aqui esse contributo e devemos, aliás, aproveitá-lo. Queria aqui dizer que me parece de todo desajustada a posição do Governo português de não estar a acompanhar com atenção e com o devido interesse este debate que está a acontecer na Europa.
75	P00001	P00263	74	Queira concluir, Sr. Deputado.
76	P00263	P00264	72	É inegável que a Europa não mudou, mas é também inegável que o Governo grego está a introduzir na Europa fatores de discussão que são importantes. Queria aqui registar este facto, mas gostava de ouvir um comentário por parte do Sr. Deputado em relação à evolução verificada ao nível do Governo grego.
77	P00001	P00264	72	Para responder, tem a palavra o Sr. Deputado Luís Fazenda.
78	P00264	P00263	76	Sr.ª Presidente, Sr. Deputado Vitalino Canas, agradeço as suas observações. Neste momento, quer do ponto de vista europeu e dos responsáveis gregos, quer do ponto de vista de outros responsáveis do Eurogrupo e dos vários Governos dos Estados-membros, as notícia que temos, pela imprensa internacional e por uma ou outra declaração que tem vindo a ser mais comentada, é de que há negociações bilaterais e há um processo que está em curso. Nós não vamos comentar um processo que está em curso.
79	P00330	P00264	78	Exatamente!
80	P00264	P00263	76	» e, portanto, quer enfrentar o debate e o problema da Grçcia. São declarações de hoje da Sr.ª Merkel dizendo que não haverá nenhuma crise extraordinária para a consolidação de finanças públicas. Não sei exatamente o que isso quer dizer, é o problema de se fazerem prognósticos antes do fim do jogo, como diria o outro, mas aqui há alguma necessidade de atualizar aquilo com o qual concordo com o que o Sr. Deputado disse: é que a atitude que o Governo português tomou continua a tomar como é subserviente — aliás, subserviente é dizer pouco — em relação àquilo que tem sido o troiquismo dominante.
81	P00327	P00264	80	Já não temos troica!
82	P00264	P00263	76	Portanto, capitulou completamente. E se é importante para Portugal saber como é que se lida com as dívidas soberanas e com o conjunto das dívidas externas, Portugal está ausente, Portugal está a fazer o lugar do morto.
83	P00001	P00264	82	Queira concluir, Sr. Deputado.
84	P00264	P00263	76	Portanto, esse papel é o de escudo humano em relação à política da Sr.ª Merkel. Era tudo isso que nós não pretenderíamos em Portugal, atualmente; pretenderíamos uma atitude ativa da parte do nosso Governo. Esperemos que ainda tenhamos aqui, na Assembleia da República, o debate sobre a próxima cimeira europeia.
85	P00001	P00002		Concluída a declaração política do Bloco de Esquerda, informo que a próxima declaração política é do PSD. Tem a palavra o Sr. Deputado Luís Vales.
86	P00581	P00002		Sr.a Presidente, Sr.as e Srs. Deputados: Se há setor que tem contribuído fortemente para a recuperação económica do País, esse setor é o do turismo. Esse feito deve-se ao trabalho extraordinário dos portugueses, em especial dos empresários e agentes envolvidos na sua ação e dinamização. A estratégia do Governo é clara: fazer mais com menos!
87	P00218	P00581	86	Como é que se faz para visitar esse País?!
88	P00001	P00002		Srs. Deputados, a Mesa regista a inscrição dos Srs. Deputados Acácio Pinto, do PS, João Ramos, do PCP, e Hélder Amaral, do CDS-PP, para fazer perguntas e está informada que o Sr. Deputado Luís Vales responderá conjuntamente. Assim, tem a palavra, em primeiro lugar, o Sr. Deputado Acácio Pinto.
89	P00290	P00581	86	Sr.ª Presidente, Sr. Deputado Luís Vales, saúdo-o pelo tema que aqui trouxe hoje, mas quero dizer-lhe que poderia ter começado a sua intervenção com a expressão «Apesar do Governo»». Apesar do Governo, nós também registamos os resultados positivos do turismo. E digo «apesar do Governo», porque o Governo tem sido, nesta matéria, uma inexistência. Pelo menos, podemos dizer que não atrapalhou as empresas, não atrapalhou as regiões e, Sr. Deputado, não atrapalhou as autarquias de desenvolverem um excelente trabalho nesta matéria.
90	P00327	P00290	89	Que era o que os senhores faziam no passado!
91	P00290	P00581	86	Mas, Sr. Deputado, há questões com que quero confrontá-lo, as quais têm a ver com o turismo interno, que o Sr. Deputado escamoteou. No turismo interno, Sr. Deputado, como sabe, se tem acompanhado esta área, não há nenhuma estratégia do Governo, não há qualquer estratégia para promover o turismo interno — aliás, a única estratégia que o Governo tem seguido é a do empobrecimento dos portugueses. E a este propósito, coloco-lhe, desde já, uma questão: qual é a palavra que o Sr. Deputado tem a dizer sobre os últimos dados do INE, segundo os quais há 5,7% de diminuição nas viagens internas? Diga-nos algo sobre este valor do INE de 2014. Já agora, quero também saber o que tem para nos dizer sobre a distribuição territorial dos impactos do turismo no nosso País. É que, efetivamente, Sr. Deputado, há regiões do nosso País onde o turismo atravessa grandes dificuldades. Ainda hoje, o presidente da entidade do Centro diz que, na região Centro, há empresas em dificuldades e há mesmo alguns hotéis a fechar. Diga-nos também uma palavra sobre isto. Finalmente, Sr. Deputado, uma palavra sobre a ENATUR (Empresa Nacional de Turismo). O Sr. Deputado pode explicar-nos o que se passou para o recuo do Governo na privatização de 51% da ENATUR? O que é que se passou em relação a isso? Explique-nos, porque, efetivamente, o PS fez uma pergunta sobre esta matéria ao Ministro da Economia e, até hoje, não se dignou responder ao Partido Socialista. Não sabemos se foi pela pergunta que recuaram, mas, de qualquer modo, gostaria de saber porquê. Mesmo para terminar, o que é que o Sr. Deputado tem a dizer sobre o facto de este Governo, desde 2011, não ter apresentado aos portugueses a Conta Satélite do Turismo, que é uma conta exigida, deixe-me dizerlhe assim»
92	P00001	P00290	91	Queira concluir, Sr. Deputado.
